Corn following corn,,,
Yield,187,Bushels,
Price,$4.25 ,,
,,,
Revenue,$794.75 ,,
,,,
Rent,$190.00 ,,
Seed,$118.00 ,,
Fertilizer,$152.64 ,,
Chemical,$50.41 ,,
Insurance,$16.20 ,,
Drying,$10.00 ,,
Fuel,$20.00 ,,
Repairs,$30.00 ,,
Interest,$12.00 ,,
Direct costs,$599.25 ,,
Return over direct,$195.50 ,32.62,Percent
,,,
Depreciation,$75.00 ,,
Utilities,$20.00 ,,
Misc overhead,$27.00 ,,
Labor,$10.00 ,,
Management,$50.00 ,,
Overhead costs,$182.00 ,,
,,,
Direct & overhead,$781.25 ,,
,,,
Net return,$13.50 ,1.7,Percent
,$0.07 ,($0.07),
,$4.18 ,Bu,
